name,cost,type,rules,flavor,metatype,name 2,cost2,type2,rules2
Fupher Shuxeshe,(G/W)(G/W)(G/W),Planeswalker - Fupher (Loyalty 7),"
+2: search your library for a land card and put it into hand, then shuffle your library
-3: regenerate target creature
-8: each player may search his or her library for up to three land cards and put them into the battlefield. Each player who searched his or her library this way shuffles it.","--Her lettuce surprises the fastest map
– Anonymous (ascended)",,,,,
Mechbeast Forerunner,G,Artifact Creature - Beast (1/1),"
Whenever a creature enters the battlefield, two target Beasts get +2/+2 until end of turn and regenerate target Beast",,,,,,
Turtleback Island,,Land,"
~this~ enters the battlefield tapped.
T: add U to your mana pool",,,,,,
Nyxfield Excavator,WU,Creature - Cat Soldier (2/3),"
WWW: you may search your library for a enchantment card, reveal it, and put it into its owner's graveyard. If you do, you shuffle that library afterwards.
When ~this~ leaves the battlefield, attach target Aura to target nontoken nonmulticoloured creature. (Control of that Aura doesn't change.)",,,,,,
Druids Conjuring,4GGGGGG,Instant - Arcane,"
all Druids get +2/+2 until end of turn
Scry 2
",,double,Ghostly Outcast,WUBRG,Creature - Spirit (1/1),All Spirits are black 4: ~this~ deals 3 damage to target creature or player
Darksteel Informant,2UB,Artifact Creature - Golem (1/1),"
2: draw a card
~this~ is indestructible
T: attach target Equipment to target Golem. (Control of that Equipment doesn't change.)","-- When provoked, Humanity is mightier than even the hugest wilderness
– Sail Kasoaswoot Fleetfoot",,,,,
Murderous Nightmare,B,Creature - Horror (1/1),"
Tap an untapped land you control: ~this~ gains ''When ~this~ leaves the battlefield, destroy target creature'' until end of turn and draw a card. Activate this only once per turn.",,,,,,
Flames of Brighthearth,1RRR,Enchantment,"
2: copy target activated ability and you may choose new targets for the copy","--Even one rock made of steel kills the flower yet embiggens even the mightiest throne
– Gideon",,,,,
Crossbow Doubleshot,WW,Instant,"
~this~ deals 1 damage to each of two target attacking or blocking creatures",,,,,,
Bury,B,Sorcery,"
you may search your library for a creature card, reveal it, and put it into its owner's graveyard. If you do, you shuffle that library afterwards. and all creatures get -3/-3 until end of turn",,,,,,
Sow Mistrust,4,Sorcery,"
Flashback R
target nonmulticoloured permanent gains ''Whenever one or more artifacts enters the battlefield, you may Tap an untapped land you control. If you don't, put a speed counter on target land'' and ''Each artifact with a speed counter on it is white'' and ''Sacrifice ~this~, Sacrifice a red creature: each land with a speed counter on it gains protection from black (This effect doesn't end) '' until end of turn and untap that permanent and gain control of it until end of turn. It gains haste until end of turn.",,,,,,
Ravencaller Viashino,R,Creature - Viashino Shaman (1/3),"
As long as ~this~ is untapped, All Birds get +4/+0",,,,,,
Ongoing Demolitions,RRR,Sorcery,"
Buyback X colourless mana, where X is the number of cards in your hand
destroy two target artifacts",,,,,,
Animating Mystic,2U,Enchantment,"
All nonlegendary enchantments are creatures with power and toughness equal to their converted mana cost in addition to their other types
At the beginning of your precombat main phase, draw a card",,,,,,
Akros Theater Stage,,Land,"
~this~ enters the battlefield tapped.
1, Sacrifice a Plains, T, sacrifice ~this~: each player may search his or her library for up to four basic land cards and put them into the battlefield. Each player who searched his or her library this way shuffles it.
T: add 1 to your mana pool","--His power floats better than the best show
– Nix IV",,,,,
Riverbed Totem,4UU,Tribal Artifact - Golem,"
When ~this~ enters the battlefield, you gain 1 life for each creature on the battlefield
(U/B)(U/B), Tap an untapped nonlegendary Golem you control: each player loses 2 life","--Her family is greater than the stalwart territory
Though nature answers more swiftly than the best lake
– Traditional (uncomfirmed)",,,,,
Midnight Duel,BBB,Instant,"
clash with an opponent. If you win, ~this~ deals 7 damage to target creature or player",,,,,,
Apostle of the Tree,W,Creature - Human Cleric (2/3),"
W: put a destiny counter on target permanent
WUBRG: tap target permanent with a destiny counter on it",,,,,,
Fatal Heatwave,1R,Sorcery,"
~this~ deals 4 damage to each of two target creatures","--Humanity can defeat the flower
Although her tool is greater than even the mightiest apple
– Kuri (questionable)",,,,,
Sylvan Preperations,G,Sorcery - Generated,"
any number of target Elves get +3/+3 until end of turn",,,,,,
Flatland Factorygrounds,,Land,"
~this~ enters the battlefield tapped.
T: add W to your mana pool
Sacrifice ~this~, T: add three mana of any one colour to your mana pool
all players may cast Generated spells by paying ''Pay 3 life'' rather than paying their mana cost","--Nature twists a single loaf yet kicks more impressively than the wisest chin shall
– Titania, the false fool",,,,,
Harmonize with the Forest,1GG,Sorcery,"
draw four cards","--His heart transcends even the mightiest swing
– Unknown I",,,,,
Exhume the Coffin,2B,Instant,"
Return target creature card from your graveyard to the battlefield","--His feast kicks far hotter than the fiercest throat shall
– Unknown (?)",,,,,
Apperition of Doom,4BBBB,Creature - Spirit (1/1),"
Pay 3 life: you may return a creature card from your graveyard to hand
BB: destroy all nonblack creatures. They can't be regenerated.","--Her jam proves better than even the confused glove
– Mons of Mirrodin",,,,,
Counterspell but Worse,3U,Instant,"
counter target spell","--Nature attacks better than even the most aspirational face
– Shining",,,,,
All Suns' Dusk,3B,Instant,"
target opponent loses 1 life for each basic land type among lands you control and you gain that much life",,,,,,
Inventors Menagerie,2UU,Sorcery,"
you may put up to X creature cards from hand onto the battlefield, where X is the number of artifact spells cast this turn",,,,,,
Barbershop Cutthroat,URRR,Creature - Human Rogue (1/2),"
Whenever ~this~ enters the battlefield, an opponent gets 1 poison counter
Whenever a creature is put into a graveyard from the battlefield, draw a card","--The bravest moon can envy a single feast
Because even one haircut is mightier than the most awesome wheel
– Wig, Prophet King",,,,,
Mountainpeak Hatchling,1RRRRR,Creature - Dragon (2/1),"
Flying
All permanents gain ''3RRR: put a 4/4 red Elemental creature token onto the battlefield'' and ''4B, sacrifice a Elemental: ~this~ gains deathtouch until end of turn''",,,,,,
Trip and Fall,2BBB,Instant,"
destroy target creature and ~this~ deals 3 damage to target attacking or blocking black creature. If a creature damaged this way would be put into a graveyard this turn, exile it instead and untap that creature",,,,,,
